2025-11-25T04:11:39.380340 | OTHER_MSG | user:ch4rov(708208281) | чмоооо
2025-11-25T04:11:48.678855 | OTHER_MSG | user:ch4rov(708208281) | о норм
2025-11-25T05:11:28.908551 | OTHER_MSG | user:ch4rov(708208281) | 13
2025-11-25T10:11:06.266254 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Windows/System32/drivers/etc/hosts
2025-11-25T10:12:52.873043 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Users/Administrator/Desktop/hui
2025-11-25T10:15:19.470279 | OTHER_MSG | user:Donmu(491743989) | file:////test/video.mp4
2025-11-25T10:15:47.166007 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Users/charov/Desktop/
2025-11-25T10:16:06.678485 | OTHER_MSG | user:Donmu(491743989) | file:///CON
2025-11-25T10:16:09.210294 | OTHER_MSG | user:Donmu(491743989) | file:///CON
2025-11-25T10:16:12.926761 | OTHER_MSG | user:Donmu(491743989) | file:///CON
2025-11-25T10:16:20.052314 | OTHER_MSG | user:Donmu(491743989) | file:///aux
2025-11-25T10:16:24.327613 | OTHER_MSG | user:Donmu(491743989) | file:///aux
2025-11-25T10:17:32.066825 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Windows/Media/Alarm01.wav
2025-11-25T10:17:40.983544 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Windows/Media/chimes.wav
2025-11-25T10:17:57.379969 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Windows/System32/drivers/etc/hosts
2025-11-25T10:18:30.297493 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Windows/System32/drivers/etc/hosts
2025-11-25T10:18:35.429085 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Users/Administrator/Desktop/hui
2025-11-25T10:18:40.984092 | OTHER_MSG | user:Donmu(491743989) | file:////test/video.mp4
2025-11-25T10:18:50.415723 | OTHER_MSG | user:Donmu(491743989) | file:///C:/Users/charov/Desktop/hui
2025-11-25T10:18:55.077361 | OTHER_MSG | user:Donmu(491743989) | file:///CON
2025-11-25T10:18:59.930703 | OTHER_MSG | user:Donmu(491743989) | file:///aux
